"Higher Level Collection","Collection ID","Collection or Subsection Name","Main Collection or Subsection","Date Created","Record ID","Primary Seed","Title of Target","Description","Language","Licence Status","LD Criteria","Institution ID","Updated","Depth","Scope","Robots.txt","Crawl Frequency","Crawl Start Date","Crawl End Date"
NULL,1230,Scottish Churches,Main Collection,2018-09-04 07:05:49.440,70773,https://dennistounbaptist.co.uk/,https://dennistounbaptist.co.uk/,"Site of a Scottish Christian church and its congregation of the Baptist denomination located in Dennistoun, Glasgow.",EN,NULL,false,3,2018-09-04 07:18:31.736,CAPPED_LARGE,root,true,ANNUAL,2018-09-05 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-04 07:26:41.703,70778,http://grantonbaptist.org/,Granton Baptist Church,"Site of a Scottish Christian church and its congregation of the Baptist denomination located in Granton, Edinburgh.",EN,NULL,false,3,2018-09-04 07:28:08.196,CAPPED_LARGE,root,true,ANNUAL,2018-09-05 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-04 07:36:56.129,70781,http://kilmarnockbaptistchurch.com/,Kilmarnock Baptist Church,"Site of a Scottish Christian church and its congregation of the Baptist denomination located in Kilmarnock, Ayrshire.",EN,NULL,false,3,2018-09-04 07:39:58.503,CAPPED_LARGE,root,true,ANNUAL,2018-09-05 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-05 12:32:04.429,72209,http://www.clydebankfamilychurch.org.uk/,Clydebank Family Church,"Site of a Scottish Elim Pentecostal (Christian) Church located in Clydebank, Dunbartonshire.
",EN,PENDING,false,3,2018-10-17 15:19:56.152,CAPPED_LARGE,root,true,ANNUAL,2018-10-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-05 12:44:52.607,72214,http://www.ecfpaisley.org/,Elim Christian Fellowship Paisley,"Site of a Scottish Elim Pentecostal (Christian) Church located in Paisley, Renfrewshire.",EN,NULL,false,3,2018-10-05 12:48:48.248,CAPPED_LARGE,root,true,ANNUAL,2018-10-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-03 18:43:17.328,70772,http://dedridgebaptistchurch.org.uk/,Dedridge Baptist Church,"Site of a Scottish Christian church of the Baptist denomination and its congregation located in Dedridge, West Lothian.",EN,PENDING,false,3,2018-09-18 09:45:36.574,CAPPED_LARGE,root,true,ANNUAL,2018-09-04 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-03 18:17:07.544,70763,http://broughtybaptist.org/,Broughty Ferry Baptist Church,"Site of a Scottish Christian church of the Baptist denomination and its congregation located in Broughty Ferry, Dundee.",EN,NULL,false,3,2018-09-04 06:56:12.870,CAPPED_LARGE,root,true,ANNUAL,2018-09-04 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-03 18:24:17.398,70766,http://cowalbaptistchurch.com/,Cowal Baptist Church,"Site of a Scottish Christian church of the Baptist denomination and its congregation located in Dunoon, Argyll & Bute.",EN,NULL,false,3,2018-09-04 06:57:22.079,CAPPED_LARGE,root,true,ANNUAL,2018-09-04 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-07-17 09:46:30.041,68965,http://stjosephschurch.co.uk/,"St. Joseph's Catholic Church, Kilmarnock","Site of a Scottish Roman Catholic parish church located at Kilmarnock, Ayrshire incorporating the parish church of St. Michael's. Kilmarnock.",EN,PENDING,false,3,2018-08-24 11:35:54.969,CAPPED_LARGE,root,NULL,ANNUAL,2018-07-18 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-05 12:17:35.177,72207,http://www.bcferskine.org/,Bridge Christian Fellowship Church Erskine,"Site of a Scottish Elim Pentecostal (Christian) Church located in Erskine, Renfrewshire.",EN,NULL,false,3,2018-10-05 12:21:00.171,CAPPED_LARGE,root,true,ANNUAL,2018-10-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-07-17 10:01:48.289,68967,http://www.rckirkcudbright.org.uk/,"St. Andrew's and St. Cuthbert's, Kirkcudbright","Site of a group of Scottish Roman Catholic Churches located in Dumfries & Galloway, comprising St. Andrew's and St. Cuthbert's, Kirkcudbright; St. Peter's, Dalbeattie; St. Martin and St Ninian's, Whithorn; Sacred Heart, Wigtown; Our Lady and St. Ninian's, Newton Stewart; the Church of the Resurrection, Gatehouse of Fleet; St. John's, Castle Douglas.",EN,PENDING,false,3,2018-08-24 11:37:12.984,CAPPED_LARGE,root,true,ANNUAL,2018-07-18 09:00:00.000,NULL
